            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451924.500000000, A.D. 2001-Jan-15 00:00:00.0000,  1.777240512971685E+01, -2.430368682195920E+01,  9.090585606995938E-02,  2.513920977376640E-03,  1.871254224600529E-03, -9.653868379070623E-05,  1.738935430458665E-01,  3.010873363509875E+01, -2.686032917967235E-05,
2451934.500000000, A.D. 2001-Jan-25 00:00:00.0000,  1.779752980563584E+01, -2.428496418836834E+01,  8.994085814343701E-02,  2.511287700787687E-03,  1.873888975181003E-03, -9.606124613763814E-05,  1.738919893823093E-01,  3.010846462659284E+01, -2.727634208686713E-05,
2451944.500000000, A.D. 2001-Feb-04 00:00:00.0000,  1.782263615047211E+01, -2.426621437007589E+01,  8.897585564033317E-02,  2.509279489910230E-03,  1.875884679472681E-03, -9.663075563116285E-05,  1.738904350025229E-01,  3.010819549407569E+01, -2.681137836491115E-05,
2451954.500000000, A.D. 2001-Feb-14 00:00:00.0000,  1.784772229170470E+01, -2.424743788279969E+01,  8.801166268630189E-02,  2.508089647380369E-03,  1.878905943992814E-03, -9.679144299408793E-05,  1.738888759365693E-01,  3.010792555017385E+01, -2.668687452203343E-05,
2451964.500000000, A.D. 2001-Feb-24 00:00:00.0000,  1.787278858086501E+01, -2.422863608306798E+01,  8.704673796981850E-02,  2.505778462999777E-03,  1.881947067914267E-03, -9.614999071376462E-05,  1.738873196646757E-01,  3.010765609004848E+01, -2.723996438003179E-05,
2451974.500000000, A.D. 2001-Mar-06 00:00:00.0000,  1.789783660746517E+01, -2.420980769348251E+01,  8.608119303020886E-02,  2.503314451816037E-03,  1.883945448196501E-03, -9.639792677271892E-05,  1.738857657015636E-01,  3.010738702967626E+01, -2.704791411751839E-05,
2451984.500000000, A.D. 2001-Mar-16 00:00:00.0000,  1.792286499571507E+01, -2.419095217378148E+01,  8.511650523677294E-02,  2.502056548351470E-03,  1.886542847018333E-03, -9.691567181083414E-05,  1.738842068592622E-01,  3.010711712449857E+01, -2.662145227106015E-05,
2451994.500000000, A.D. 2001-Mar-26 00:00:00.0000,  1.794787290813118E+01, -2.417207117625462E+01,  8.415168115255603E-02,  2.500222121150964E-03,  1.889817903862676E-03, -9.638269317473536E-05,  1.738826479109014E-01,  3.010684720095728E+01, -2.707871634768806E-05,
2452004.500000000, A.D. 2001-Apr-05 00:00:00.0000,  1.797286214995529E+01, -2.415316430251156E+01,  8.318584095314692E-02,  2.497519465886923E-03,  1.892081791072735E-03, -9.620903371636083E-05,  1.738810932029290E-01,  3.010657801161649E+01, -2.724296748089443E-05,
2452014.500000000, A.D. 2001-Apr-15 00:00:00.0000,  1.799783240541216E+01, -2.413423019004884E+01,  8.222050771863532E-02,  2.495905068378275E-03,  1.894267898811268E-03, -9.687053815127041E-05,  1.738795353746455E-01,  3.010630828201057E+01, -2.669809690185011E-05,
2452024.500000000, A.D. 2001-Apr-25 00:00:00.0000,  1.802278198673507E+01, -2.411527010497447E+01,  8.125565194896857E-02,  2.494498698496570E-03,  1.897506361299588E-03, -9.667200052273259E-05,  1.738779744711177E-01,  3.010603801994262E+01, -2.686927337767375E-05,
2452034.500000000, A.D. 2001-May-05 00:00:00.0000,  1.804771214874514E+01, -2.409628470292594E+01,  8.028977082320866E-02,  2.491871480494650E-03,  1.900187537995612E-03, -9.615240368382347E-05,  1.738764178307402E-01,  3.010576849601624E+01, -2.732369271437345E-05,
2452044.500000000, A.D. 2001-May-15 00:00:00.0000,  1.807262375571983E+01, -2.407727237652651E+01,  7.932379643075897E-02,  2.489759655106286E-03,  1.902145994323240E-03, -9.668424223326783E-05,  1.738748610383687E-01,  3.010549894577294E+01, -2.689432515103588E-05,
2452054.500000000, A.D. 2001-May-25 00:00:00.0000,  1.809751496352018E+01, -2.405823348487131E+01,  7.835867616956864E-02,  2.488552796386719E-03,  1.905090622402553E-03, -9.690693369481147E-05,  1.738732993915762E-01,  3.010522855501268E+01, -2.670921534601279E-05,
2452064.500000000, A.D. 2001-Jun-04 00:00:00.0000,  1.812238594069976E+01, -2.403916947218359E+01,  7.739291330144661E-02,  2.486282313395928E-03,  1.908163131878148E-03, -9.626295851373465E-05,  1.738717401129007E-01,  3.010495857427917E+01, -2.726259648130347E-05,
2452074.500000000, A.D. 2001-Jun-14 00:00:00.0000,  1.814723835850391E+01, -2.402007916597302E+01,  7.642645937919945E-02,  2.483737902380510E-03,  1.910168127620844E-03, -9.644710068352186E-05,  1.738701836034812E-01,  3.010468907302747E+01, -2.713122263654032E-05,
2452084.500000000, A.D. 2001-Jun-24 00:00:00.0000,  1.817207097563837E+01, -2.400096187626243E+01,  7.546084298836708E-02,  2.482415077526447E-03,  1.912679274489932E-03, -9.700237042491625E-05,  1.738686224047558E-01,  3.010441875984763E+01, -2.666848530753412E-05,
