            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2452104.500000000, A.D. 2001-Jul-14 00:00:00.0000,  1.583894182948080E+01, -1.216856533135199E+01, -2.504307266295193E-01,  2.367371148078240E-03,  2.935867729090542E-03, -1.971613158814102E-05,  1.153671570508716E-01,  1.997520403024456E+01,  8.892490710115452E-05,
2452114.500000000, A.D. 2001-Jul-24 00:00:00.0000,  1.586258574198904E+01, -1.213918409922269E+01, -2.506281668188071E-01,  2.361279750684405E-03,  2.940418214759918E-03, -1.968161496272508E-05,  1.153722826311349E-01,  1.997609149695650E+01,  8.843858347979642E-05,
2452124.500000000, A.D. 2001-Aug-03 00:00:00.0000,  1.588617064043439E+01, -1.210975769923602E+01, -2.508242368187439E-01,  2.355467108419137E-03,  2.944911978997104E-03, -1.952090394030153E-05,  1.153773899157500E-01,  1.997697579587514E+01,  8.820545436317262E-05,
2452134.500000000, A.D. 2001-Aug-13 00:00:00.0000,  1.590969635999837E+01, -1.208028627872110E+01, -2.510192911869831E-01,  2.349692062525940E-03,  2.949379274667532E-03, -1.939924956435086E-05,  1.153824786347084E-01,  1.997785688024996E+01,  8.801799252996888E-05,
2452144.500000000, A.D. 2001-Aug-23 00:00:00.0000,  1.593316296437503E+01, -1.205077004192480E+01, -2.512137405846620E-01,  2.343721467372016E-03,  2.953885063270898E-03, -1.920944726632128E-05,  1.153875497682986E-01,  1.997873491981268E+01,  8.764980060645265E-05,
2452154.500000000, A.D. 2001-Sep-02 00:00:00.0000,  1.595657079367566E+01, -1.202120914580523E+01, -2.514072304836495E-01,  2.337813736539656E-03,  2.958326379150552E-03, -1.928674693568304E-05,  1.153926053513174E-01,  1.997961026687743E+01,  8.737303023007996E-05,
2452164.500000000, A.D. 2001-Sep-12 00:00:00.0000,  1.597991931696200E+01, -1.199160359451332E+01, -2.515996732842578E-01,  2.331830338284595E-03,  2.962775490037756E-03, -1.933430846329547E-05,  1.153976428929569E-01,  1.998048249017418E+01,  8.702972799115424E-05,
2452174.500000000, A.D. 2001-Sep-22 00:00:00.0000,  1.600320808028873E+01, -1.196195343776556E+01, -2.517911736809455E-01,  2.325929786750380E-03,  2.967230393254633E-03, -1.911681962081133E-05,  1.154026604207868E-01,  1.998135124818723E+01,  8.674488422697781E-05,
2452184.500000000, A.D. 2001-Oct-02 00:00:00.0000,  1.602643746614435E+01, -1.193225893495085E+01, -2.519820393437967E-01,  2.319842601036533E-03,  2.971699877302722E-03, -1.899228484037217E-05,  1.154076605660215E-01,  1.998221699649720E+01,  8.630201938253666E-05,
2452194.500000000, A.D. 2001-Oct-12 00:00:00.0000,  1.604960753419202E+01, -1.190252016781542E+01, -2.521718164929559E-01,  2.313840487396926E-03,  2.976139637483131E-03, -1.884825817527501E-05,  1.154126438015491E-01,  1.998307981698216E+01,  8.594384235550469E-05,
2452204.500000000, A.D. 2001-Oct-22 00:00:00.0000,  1.607271809840001E+01, -1.187273719389876E+01, -2.523602517797209E-01,  2.308084870852782E-03,  2.980494226545177E-03, -1.883572794057949E-05,  1.154176093938804E-01,  1.998393958264238E+01,  8.583523777417426E-05,
2452214.500000000, A.D. 2001-Nov-01 00:00:00.0000,  1.609576876511419E+01, -1.184291014419208E+01, -2.525479388193609E-01,  2.302147629129917E-03,  2.984893662035565E-03, -1.869143047564869E-05,  1.154225559548292E-01,  1.998479605312086E+01,  8.555148373148219E-05,
2452224.500000000, A.D. 2001-Nov-11 00:00:00.0000,  1.611875982439941E+01, -1.181303922586757E+01, -2.527349510005760E-01,  2.296159887257466E-03,  2.989281092107180E-03, -1.861381847465634E-05,  1.154274854932145E-01,  1.998564957623384E+01,  8.523412255974685E-05,
2452234.500000000, A.D. 2001-Nov-21 00:00:00.0000,  1.614169135824063E+01, -1.178312455791466E+01, -2.529210670641713E-01,  2.290039718224643E-03,  2.993658109847258E-03, -1.872293612213600E-05,  1.154323987304593E-01,  1.998650027689181E+01,  8.481741871014172E-05,
2452244.500000000, A.D. 2001-Dec-01 00:00:00.0000,  1.616456270612945E+01, -1.175316608352618E+01, -2.531059558197059E-01,  2.284086402971840E-03,  2.998021704838399E-03, -1.857176905354332E-05,  1.154372923174223E-01,  1.998734757520899E+01,  8.453905587389341E-05,
2452254.500000000, A.D. 2001-Dec-11 00:00:00.0000,  1.618737385050443E+01, -1.172316398287918E+01, -2.532899713202073E-01,  2.278126436350649E-03,  3.002377766498909E-03, -1.839201647728027E-05,  1.154421667548876E-01,  1.998819155789342E+01,  8.425854420877095E-05,
2452264.500000000, A.D. 2001-Dec-21 00:00:00.0000,  1.621012502743162E+01, -1.169311846330411E+01, -2.534732760462058E-01,  2.272012200644971E-03,  3.006758732701634E-03, -1.817555569259993E-05,  1.154470238073202E-01,  1.998903253045274E+01,  8.383711414461819E-05,
2452274.500000000, A.D. 2001-Dec-31 00:00:00.0000,  1.623281644091971E+01, -1.166302962809172E+01, -2.536553373253077E-01,  2.266129983295218E-03,  3.011045335840326E-03, -1.817469846606811E-05,  1.154518646908082E-01,  1.998987070344609E+01,  8.366093111570241E-05,
2452284.500000000, A.D. 2002-Jan-10 00:00:00.0000,  1.625544758736332E+01, -1.163289752753255E+01, -2.538363445640437E-01,  2.260185969549285E-03,  3.015331266352140E-03, -1.818288852857421E-05,  1.154566871792214E-01,  1.999070569143097E+01,  8.343429373459368E-05,
2452294.500000000, A.D. 2002-Jan-20 00:00:00.0000,  1.627801817506363E+01, -1.160272227715893E+01, -2.540166149160091E-01,  2.254195214305531E-03,  3.019641584506186E-03, -1.799339912988041E-05,  1.154614902612630E-01,  1.999153731930677E+01,  8.315211495785716E-05,
2452304.500000000, A.D. 2002-Jan-30 00:00:00.0000,  1.630052862952325E+01, -1.157250411889930E+01, -2.541962618141955E-01,  2.248002054765853E-03,  3.023956294294602E-03, -1.799385887912752E-05,  1.154662767039093E-01,  1.999236606616057E+01,  8.270402552819746E-05,
2452314.500000000, A.D. 2002-Feb-09 00:00:00.0000,  1.632297869261521E+01, -1.154224305890997E+01, -2.543747823761668E-01,  2.241860915153963E-03,  3.028260798361763E-03, -1.788852943671938E-05,  1.154710452261400E-01,  1.999319171019060E+01,  8.230182474309689E-05,
2452324.500000000, A.D. 2002-Feb-19 00:00:00.0000,  1.634536806132746E+01, -1.151193914228695E+01, -2.545520082010947E-01,  2.235967127002356E-03,  3.032503982917948E-03, -1.774272812399904E-05,  1.154757944870272E-01,  1.999401401922239E+01,  8.213562365637563E-05,
2452334.500000000, A.D. 2002-Mar-01 00:00:00.0000,  1.636769666194834E+01, -1.148159256944399E+01, -2.547285258988761E-01,  2.229882529630772E-03,  3.036788920299715E-03, -1.750040249139835E-05,  1.154805247959265E-01,  1.999483304681919E+01,  8.178740889666302E-05,
2452344.500000000, A.D. 2002-Mar-11 00:00:00.0000,  1.638996488653255E+01, -1.145120353676638E+01, -2.549041698881508E-01,  2.223852668953739E-03,  3.041031178766072E-03, -1.737771176113711E-05,  1.154852385943635E-01,  1.999564921571808E+01,  8.150922237525777E-05,
2452354.500000000, A.D. 2002-Mar-21 00:00:00.0000,  1.641217270207450E+01, -1.142077214228878E+01, -2.550787401850108E-01,  2.217791429685951E-03,  3.045232232696446E-03, -1.750462835697002E-05,  1.154899359894944E-01,  1.999646254447254E+01,  8.123124608381283E-05,
2452364.500000000, A.D. 2002-Mar-31 00:00:00.0000,  1.643431937165099E+01, -1.139029836634242E+01, -2.552522823987689E-01,  2.211754912120334E-03,  3.049451173709830E-03, -1.736928463819292E-05,  1.154946133786001E-01,  1.999727240929111E+01,  8.095911241628691E-05,
2452374.500000000, A.D. 2002-Apr-10 00:00:00.0000,  1.645640501680336E+01, -1.135978241972752E+01, -2.554251488643777E-01,  2.205613306172553E-03,  3.053678521264789E-03, -1.724367698001467E-05,  1.154992720048895E-01,  1.999807902542875E+01,  8.059507926601852E-05,
2452384.500000000, A.D. 2002-Apr-20 00:00:00.0000,  1.647842982375169E+01, -1.132922446550224E+01, -2.555972625307382E-01,  2.199297785485547E-03,  3.057932638685315E-03, -1.709907669859303E-05,  1.155039132317777E-01,  1.999888262895347E+01,  8.007144511574945E-05,
2452394.500000000, A.D. 2002-Apr-30 00:00:00.0000,  1.650039371566976E+01, -1.129862453095898E+01, -2.557679787603843E-01,  2.193299747117081E-03,  3.062097425178330E-03, -1.700070007370222E-05,  1.155085366878498E-01,  1.999968315555676E+01,  7.985969086995944E-05,
2452404.500000000, A.D. 2002-May-10 00:00:00.0000,  1.652229633066685E+01, -1.126798272034897E+01, -2.559376428447088E-01,  2.187273500721948E-03,  3.066258321835823E-03, -1.688129053334307E-05,  1.155131409669378E-01,  2.000048036176819E+01,  7.962587285265060E-05,
2452414.500000000, A.D. 2002-May-20 00:00:00.0000,  1.654413766659647E+01, -1.123729921514071E+01, -2.561065882654860E-01,  2.181187471525395E-03,  3.070433531247594E-03, -1.665382314953949E-05,  1.155177266233456E-01,  2.000127434356249E+01,  7.933247758687867E-05,
2452424.500000000, A.D. 2002-May-30 00:00:00.0000,  1.656591817772156E+01, -1.120657423827151E+01, -2.562747436830495E-01,  2.174995884343862E-03,  3.074573587755294E-03, -1.674687458294226E-05,  1.155222964970178E-01,  2.000206559266083E+01,  7.897476830012622E-05,
2452434.500000000, A.D. 2002-Jun-09 00:00:00.0000,  1.658763734049957E+01, -1.117580776611266E+01, -2.564418004370729E-01,  2.168793605119543E-03,  3.078717008479118E-03, -1.673649958714106E-05,  1.155268479393308E-01,  2.000285365046825E+01,  7.860399824221470E-05,
